,day,precipitation,temp_max,temp_avg,temp_min,dew_point_max,dew_point_avg,dew_point_min,humidity_max,humidity_avg,humidity_min,wind_speed_max,wind_speed_avg,wind_speed_min,pressure_max,pressure_avg,pressure_min,month,year
191,12,0.00,79,66.4,0,61,55.7,0,100,68.1,0,18,14.8,7,25.4,24.3,0.0,7,2015
192,13,0.00,79,58.9,0,63,49.8,0,94,61.5,0,18,9.1,2,25.4,21.7,0.0,7,2015
193,14,0.00,77,54.6,0,63,50.2,0,100,69.9,0,21,6.9,0,25.3,20.9,0.0,7,2015
194,15,0.00,79,60.7,0,64,55.4,0,100,72.8,0,14,8.4,0,25.3,22.5,0.0,7,2015
195,16,0.00,77,52.8,0,66,47.3,0,94,59.8,0,16,9.1,0,25.3,20.2,0.0,7,2015
196,17,0.00,79,52.4,0,64,47.8,0,100,63.9,0,14,5.9,0,25.3,19.6,0.0,7,2015
197,18,0.00,75,60.9,0,66,54.9,0,100,70.7,0,14,9.0,0,25.4,22.5,0.0,7,2015
198,19,0.00,79,50.6,0,63,45.9,0,100,61.5,0,12,5.1,0,25.4,19.0,0.0,7,2015
199,20,0.00,77,51.5,0,64,48.0,0,100,66.5,0,14,5.1,0,25.4,19.6,0.0,7,2015
200,21,0.00,77,64.2,0,64,59.7,0,100,82.7,0,12,6.2,0,25.3,24.3,0.0,7,2015
201,22,0.00,79,62.0,0,66,56.0,0,100,71.4,0,14,8.8,5,25.3,22.5,0.0,7,2015
202,23,0.00,81,70.7,64,64,63.1,61,94,77.7,54,18,13.5,7,25.4,25.3,25.3,7,2015
203,24,0.00,79,56.2,0,64,50.0,0,94,61.6,0,21,14.0,6,25.4,20.3,0.0,7,2015
204,25,0.00,79,70.4,64,63,60.0,54,94,71.1,44,21,14.6,7,25.3,25.3,25.2,7,2015
205,26,0.00,81,67.5,0,61,56.7,0,94,67.0,0,18,14.4,12,25.3,24.3,0.0,7,2015
206,27,0.00,79,70.0,63,64,59.4,55,94,70.8,44,21,14.7,9,25.3,25.3,25.2,7,2015
207,28,0.00,79,70.4,64,63,61.3,57,94,73.8,51,16,13.0,9,25.3,25.3,25.2,7,2015
208,29,0.00,79,67.2,0,64,57.6,0,94,69.3,0,18,13.5,9,25.4,24.2,0.0,7,2015
209,30,0.00,81,62.0,0,63,54.1,0,94,66.0,0,18,11.8,0,25.4,22.5,0.0,7,2015
210,31,0.00,79,66.3,0,61,55.6,0,94,67.6,0,16,12.0,7,25.4,24.3,0.0,7,2015
211,1,0.00,79,69.2,61,61,59.2,57,94,72.3,50,16,12.3,9,25.3,25.3,25.2,8,2015
212,2,0.00,79,58.0,0,64,50.5,0,94,61.1,0,21,12.4,0,25.3,20.9,0.0,8,2015
213,3,0.00,81,70.4,64,64,62.2,59,94,75.6,51,18,11.3,0,25.3,25.3,25.2,8,2015
214,4,0.00,82,71.4,64,63,59.6,52,94,69.0,39,21,15.6,9,25.3,25.3,25.2,8,2015
215,5,0.00,81,71.2,63,64,60.5,59,94,71.3,48,21,15.5,12,25.3,25.3,25.2,8,2015
216,6,0.00,82,71.9,64,64,58.8,50,94,66.3,34,21,14.9,9,25.3,25.3,25.2,8,2015
217,7,0.00,77,69.8,61,64,59.4,55,94,71.3,47,16,11.9,9,25.3,25.3,25.2,8,2015
218,8,0.00,81,68.1,0,66,58.8,0,94,70.7,0,18,10.3,0,25.3,24.3,0.0,8,2015
219,9,0.00,81,65.2,0,64,54.6,0,94,65.0,0,18,8.2,0,25.3,23.3,0.0,8,2015
220,10,0.00,81,71.1,63,64,59.0,57,94,68.1,45,16,10.1,5,25.3,25.3,25.2,8,2015
221,11,0.00,73,46.6,0,66,42.4,0,94,56.3,0,12,8.4,0,25.3,19.4,0.0,8,2015
222,12,0.00,73,52.9,0,63,49.3,0,100,68.0,0,14,8.2,0,25.3,20.2,0.0,8,2015
223,13,0.00,79,68.7,61,61,58.9,55,94,73.1,47,18,13.8,7,25.4,25.3,25.3,8,2015
224,14,0.00,81,62.7,0,61,52.1,0,94,60.6,0,18,13.1,7,25.4,22.5,0.0,8,2015
225,15,0.00,77,46.5,0,66,43.7,0,94,61.4,0,16,7.8,0,25.3,17.9,0.0,8,2015
226,16,0.00,77,56.1,0,64,51.3,0,100,68.1,0,16,7.5,0,25.4,20.9,0.0,8,2015
227,17,0.00,79,49.6,0,66,46.2,0,100,62.2,0,18,7.6,0,25.3,17.6,0.0,8,2015
228,18,0.00,81,56.8,0,68,51.3,0,100,64.4,0,16,6.8,0,25.3,20.2,0.0,8,2015
229,19,0.00,79,64.4,0,66,58.7,0,94,75.4,0,12,7.5,0,25.3,23.3,0.0,8,2015
230,20,0.00,81,54.0,0,66,48.7,0,94,62.0,0,14,5.5,0,25.3,19.6,0.0,8,2015
231,21,0.00,82,71.6,63,63,58.7,52,94,66.5,41,16,10.8,0,25.3,25.3,25.2,8,2015
232,22,0.00,81,71.0,64,63,58.4,46,94,67.7,30,21,13.4,9,25.3,25.3,25.2,8,2015
233,23,0.00,81,70.3,63,63,59.3,57,94,70.4,45,16,12.7,7,25.3,25.3,25.2,8,2015
234,24,0.00,79,70.1,59,59,56.1,54,94,63.9,44,25,14.8,7,25.3,25.3,25.2,8,2015
